question,expected_keywords,response_expected,response_tf_idf,response_embeddings,type
¿Qué alianzas estratégicas ha establecido HistoriaCard?,"alianzas con ONGs, comercios",HistoriaCard ha establecido alianzas con comercios y ONGs para promover sus servicios.,"HistoriaCard ha establecido alianzas con una red extensa de comercios y proveedores de servicios en todo México, organizaciones no gubernamentales, aerolíneas y cadenas hoteleras. 
","HistoriaCard ha establecido alianzas con una red extensa de comercios y proveedores de servicios en todo México, organizaciones no gubernamentales, aerolíneas y cadenas hoteleras. 
",medio
¿Cómo contribuye HistoriaCard al ahorro de sus usuarios con la tarjeta de débito?,"intereses sobre saldo, ahorro automático",La tarjeta de débito ofrece intereses sobre saldo y opciones de ahorro automáticas.,"Informacion no encontrada 
","Información no encontrada. 
",medio
¿Qué herramientas educativas ofrece HistoriaCard en su app?,"artículos, guías, calculadoras","HistoriaCard ofrece guías, calculadoras y cursos en línea para educar financieramente.","La app de HistoriaCard ofrece recursos de educación financiera. 
","Informacion no encontrada. 
",medio
¿Cómo protege HistoriaCard a los usuarios contra fraudes?,"detector de fraudes, alertas de seguridad",Detecta fraudes en tiempo real y envía alertas de seguridad a los usuarios.,"HistoriaCard utiliza sistemas avanzados de inteligencia artificial que monitorean las transacciones en tiempo real para detectar actividades sospechosas y prevenir fraudes. 
","Información no encontrada. 
",complejo
¿Qué opciones de recompensas ofrece HistoriaCard?,"puntos, descuentos, vuelos","HistoriaCard ofrece puntos que pueden canjearse por descuentos, vuelos y experiencias.","Acumula puntos por cada compra, que pueden canjearse por descuentos, productos o experiencias. 
","Información no encontrada. 
",complejo
¿Qué impacto tiene HistoriaCard en la sociedad mexicana?,"inclusión financiera, educación financiera",Impacto positivo en la inclusión financiera y educación de los mexicanos.,"HistoriaCard promueve la inclusión financiera en México y ha cambiado la vida de miles de mexicanos. 
","HistoriaCard promueve la inclusión financiera en México. 
",complejo
¿Qué innovaciones tecnológicas está explorando HistoriaCard?,"IA avanzada, DeFi",Está explorando IA avanzada y finanzas descentralizadas para mejorar sus productos.,"HistoriaCard está explorando la inteligencia artificial avanzada y las finanzas descentralizadas (DeFi). 
","HistoriaCard está explorando seguros y herramientas de inversión. 
",complejo
¿Cómo ofrece HistoriaCard asistencia en viajes para sus usuarios?,"asistencia en viajes, seguro",Incluye seguro de viaje y asistencia en caso de emergencias en el extranjero.,"Incluye seguro de viaje y asistencia en el extranjero, desde emergencias médicas hasta reemplazo de tarjetas. 
","HistoriaCard ofrece vuelos y hoteles a través de alianzas con aerolíneas y cadenas hoteleras, permitiendo a los usuarios canjear puntos por boletos de avión, noches de hotel y paquetes vacacionales. 
",complejo
¿Cuáles son las principales diferencias entre la tarjeta de crédito y la tarjeta de débito HistoriaCard?,"crédito, débito, diferencias de pago","La tarjeta de crédito tiene línea de crédito, mientras que la tarjeta de débito no.","La tarjeta de débito HistoriaCard ofrece una experiencia bancaria completa, mientras que la tarjeta de crédito HistoriaCard es un producto para construir o mejorar el historial crediticio. 
","La tarjeta de crédito HistoriaCard está diseñada para construir o mejorar el historial crediticio, mientras que la tarjeta de débito HistoriaCard ofrece una experiencia bancaria completa, segura y sin complicaciones. 
",complejo
¿Cómo acceden los usuarios a la atención al cliente de HistoriaCard?,"chat en vivo, llamadas de emergencia",HistoriaCard ofrece atención al cliente a través de chat en vivo y llamadas de emergencia.,"Informacion no encontrada 
","Informacion no encontrada. 
",simple
¿Cuáles son las características principales de la criptomoneda que ofrece HistoriaCard?,N/A,No hay información disponible sobre criptomonedas en el documento.,"Informacion no encontrada 
","La tarjeta de débito HistoriaCard ofrece una experiencia bancaria completa, segura y sin complicaciones. 
",no contestable
¿Cómo ayuda HistoriaCard a los usuarios a invertir en bolsa?,N/A,No hay información disponible sobre inversiones en bolsa.,"HistoriaCard ofrece cursos en línea diseñados por expertos en finanzas, que cubren cómo invertir en la bolsa de valores. 
","Información no encontrada. 
",no contestable
¿Qué opciones de hipotecas ofrece HistoriaCard?,N/A,No hay información disponible sobre hipotecas.,"Información no encontrada. 
","Informacion no encontrada. 
",no contestable
